seed,bot,score,moves,movesEarned,endReason,frenzies,peakMeter,crashed,maxCombo,bestMovePts,proteinTiles,carbTiles,pctCrash,pctNormal,pctKeto,pctDeep,pctFrenzy,tierUpsSeen,firstTierUpMove,endState,endedWithin5OfFrenzy,longestDryGap,rewardEvents,ptsCrash,ptsNormal,ptsKeto,ptsDeep,ptsFrenzy,nearMissNoFrenzy,fellBackWithoutFrenzy,lastMoveWasReward,ptsInFrenzy,movesInFrenzy,ptsOutside,movesOutside,climbCount,climbLengths
718,ketoBig,9038,45,15,budget,1,100,true,5,1950,126,194,0.06666666666666667,0.6666666666666666,0.13333333333333333,0.022222222222222223,0.1111111111111111,7,2,normal,false,5,19,213,4265,840,360,3360,false,false,false,2970,5,6068,40,1,4
719,ketoBig,2689,32,2,budget,0,73,true,3,420,62,124,0.375,0.59375,0.03125,0,0,4,2,normal,false,4,14,724,1785,180,0,0,false,false,true,0,0,2689,32,0,
720,ketoBig,10850,59,29,budget,1,100,false,5,2240,126,211,0,0.7796610169491526,0.11864406779661017,0.01694915254237288,0.0847457627118644,11,11,normal,false,10,28,0,3415,3350,1305,2780,false,true,false,3580,5,7270,54,1,3
721,ketoBig,11080,57,27,budget,1,100,true,4,1320,178,240,0.017543859649122806,0.6842105263157895,0.17543859649122806,0.03508771929824561,0.08771929824561403,10,1,normal,false,4,30,15,4960,2050,315,3740,false,false,false,3560,5,7520,52,0,
722,ketoBig,10025,55,25,budget,1,100,true,4,2040,150,218,0.01818181818181818,0.7272727272727273,0.12727272727272726,0.03636363636363636,0.09090909090909091,9,5,crash,false,5,23,0,5130,1430,885,2580,false,true,false,2700,5,7325,50,1,2
723,ketoBig,3880,32,2,budget,0,73,true,5,630,95,134,0.21875,0.75,0.03125,0,0,4,2,normal,false,5,15,840,2740,300,0,0,false,false,false,0,0,3880,32,0,
724,ketoBig,15945,71,41,budget,3,100,true,5,1740,191,245,0.1267605633802817,0.352112676056338,0.23943661971830985,0.07042253521126761,0.2112676056338028,16,2,normal,false,9,34,520,2885,2420,2040,8080,false,true,false,6160,15,9785,56,3,4|2|6
725,ketoBig,2928,32,2,budget,0,73,true,4,280,77,134,0.375,0.59375,0.03125,0,0,2,2,normal,false,4,18,1163,1585,180,0,0,false,false,false,0,0,2928,32,0,
726,ketoBig,5760,44,14,budget,0,89,true,3,930,105,179,0.36363636363636365,0.5681818181818182,0.045454545454545456,0.022727272727272728,0,10,1,normal,false,8,21,445,3020,1980,315,0,false,false,false,0,0,5760,44,0,
727,ketoBig,2233,15,6,lock,0,86,true,4,575,37,68,0.2,0.6,0.2,0,0,4,2,normal,false,3,7,118,1875,240,0,0,false,false,true,0,0,2233,15,0,
