seed,bot,score,moves,movesEarned,endReason,frenzies,peakMeter,crashed,maxCombo,bestMovePts,proteinTiles,carbTiles,pctCrash,pctNormal,pctKeto,pctDeep,pctFrenzy,tierUpsSeen,firstTierUpMove,endState,endedWithin5OfFrenzy,longestDryGap,rewardEvents,ptsCrash,ptsNormal,ptsKeto,ptsDeep,ptsFrenzy,nearMissNoFrenzy,fellBackWithoutFrenzy,lastMoveWasReward,ptsInFrenzy,movesInFrenzy,ptsOutside,movesOutside,climbCount,climbLengths
1027,lookahead,5239,30,0,budget,0,66,true,5,1335,90,151,0.16666666666666666,0.8333333333333334,0,0,0,0,-1,crash,false,4,12,279,4960,0,0,0,false,false,false,0,0,5239,30,0,
1028,lookahead,63416,134,104,budget,6,100,true,7,3120,479,735,0.014925373134328358,0.4701492537313433,0.23880597014925373,0.05223880597014925,0.22388059701492538,33,1,normal,false,4,79,306,10970,16440,12300,23400,false,true,true,23120,30,40296,104,5,3|3|3|2|4
1029,lookahead,9591,46,16,budget,0,80,true,7,1465,139,233,0.10869565217391304,0.8260869565217391,0.06521739130434782,0,0,11,2,normal,false,4,24,376,6335,2880,0,0,false,false,false,0,0,9591,46,0,
1030,lookahead,3570,30,0,budget,0,62,true,4,510,69,115,0.03333333333333333,0.9666666666666667,0,0,0,1,17,normal,false,6,12,80,3490,0,0,0,false,false,false,0,0,3570,30,0,
1031,lookahead,21403,75,45,budget,3,100,true,5,3780,235,308,0.05333333333333334,0.44,0.25333333333333335,0.05333333333333334,0.2,17,13,normal,false,10,40,313,5775,3980,1755,9580,false,true,false,9630,15,11773,60,3,4|12|3
1032,lookahead,16605,62,32,budget,2,100,false,4,2220,213,289,0,0.5967741935483871,0.1935483870967742,0.04838709677419355,0.16129032258064516,11,7,normal,false,5,33,0,7030,4110,585,4880,false,true,true,4340,10,12265,52,2,4|6
1033,lookahead,35180,93,63,budget,3,100,true,6,4740,280,422,0.010752688172043012,0.4838709677419355,0.27956989247311825,0.06451612903225806,0.16129032258064516,25,2,crash,false,4,51,85,6505,8250,3480,16860,false,true,false,16420,15,18760,78,3,3|3|2
1034,lookahead,4993,30,0,budget,0,59,true,7,1155,80,144,0.23333333333333334,0.7666666666666667,0,0,0,3,4,normal,false,6,13,393,4600,0,0,0,false,false,true,0,0,4993,30,0,
1035,lookahead,13245,56,26,budget,0,98,true,6,2690,155,258,0.017857142857142856,0.75,0.21428571428571427,0.017857142857142856,0,11,1,crash,false,5,27,30,6190,4910,2115,0,true,true,false,0,0,13245,56,0,
1036,lookahead,120,3,2,lock,0,83,false,1,60,9,0,0,0.3333333333333333,0.6666666666666666,0,0,1,2,keto,false,1,2,0,60,60,0,0,false,false,true,0,0,120,3,0,
1037,lookahead,58825,149,119,budget,7,100,true,6,3620,483,686,0,0.42953020134228187,0.2684563758389262,0.06711409395973154,0.2348993288590604,40,2,normal,false,10,88,300,7835,12240,14310,24140,false,true,true,21440,35,37385,114,7,8|3|3|2|8|3|10
1038,lookahead,6785,34,4,budget,0,75,true,6,990,129,169,0,0.9411764705882353,0.058823529411764705,0,0,2,7,normal,false,3,20,110,6495,180,0,0,false,false,false,0,0,6785,34,0,
1039,lookahead,6340,29,0,lock,0,68,true,5,735,103,152,0,1,0,0,0,0,-1,normal,false,3,14,30,6310,0,0,0,false,false,false,0,0,6340,29,0,
1040,lookahead,6639,32,2,budget,0,73,true,7,1985,110,171,0.125,0.875,0,0,0,3,2,normal,false,3,17,489,5970,180,0,0,false,false,false,0,0,6639,32,0,
1041,lookahead,33360,92,62,budget,4,100,true,5,2630,302,430,0.03260869565217391,0.43478260869565216,0.1956521739130435,0.11956521739130435,0.21739130434782608,23,2,normal,false,5,48,230,6690,8080,3900,14460,false,true,true,12960,20,20400,72,3,4|12|7
1042,lookahead,5180,32,2,budget,0,74,true,5,885,93,141,0.03125,0.9375,0.03125,0,0,2,1,normal,false,7,15,15,5075,90,0,0,false,false,true,0,0,5180,32,0,
1043,lookahead,5568,34,4,budget,0,85,true,5,945,102,147,0.058823529411764705,0.8529411764705882,0.08823529411764706,0,0,3,5,normal,false,9,13,113,5215,240,0,0,false,false,false,0,0,5568,34,0,
1044,lookahead,13605,32,11,lock,1,100,false,8,2175,113,157,0,0.6875,0.0625,0.09375,0.15625,3,1,normal,false,6,13,0,4530,1110,3285,4680,false,true,false,4040,5,9565,27,1,5
1045,lookahead,42535,96,66,budget,6,100,false,7,4215,357,460,0,0.46875,0.17708333333333334,0.041666666666666664,0.3125,18,1,normal,false,7,46,0,8130,5520,7545,21340,false,false,true,19875,30,22660,66,5,3|7|3|2|4
1046,lookahead,52719,121,91,budget,5,100,true,7,4170,394,625,0.06611570247933884,0.4793388429752066,0.19834710743801653,0.049586776859504134,0.2066115702479339,32,1,crash,false,7,74,669,8300,11630,8100,24020,false,true,true,23060,25,29659,96,4,7|2|2|5
