seed,bot,score,moves,movesEarned,endReason,frenzies,peakMeter,crashed,maxCombo,bestMovePts,proteinTiles,carbTiles,pctCrash,pctNormal,pctKeto,pctDeep,pctFrenzy,tierUpsSeen,firstTierUpMove,endState,endedWithin5OfFrenzy,longestDryGap,rewardEvents,ptsCrash,ptsNormal,ptsKeto,ptsDeep,ptsFrenzy,nearMissNoFrenzy,fellBackWithoutFrenzy,lastMoveWasReward,ptsInFrenzy,movesInFrenzy,ptsOutside,movesOutside,climbCount,climbLengths
1842,tempted_1_25,17540,61,31,budget,1,100,true,9,5625,196,291,0.06557377049180328,0.5901639344262295,0.2459016393442623,0.01639344262295082,0.08196721311475409,15,7,crash,false,6,28,150,6545,7560,1845,1440,false,true,false,1360,5,16180,56,1,7
1843,tempted_1_25,3964,30,0,budget,0,62,true,5,1120,86,127,0.13333333333333333,0.8666666666666667,0,0,0,3,3,normal,false,5,11,169,3795,0,0,0,false,false,false,0,0,3964,30,0,
1844,tempted_1_25,2925,30,0,budget,0,50,true,4,390,82,146,0.5,0.5,0,0,0,3,10,crash,false,6,12,795,2130,0,0,0,false,false,true,0,0,2925,30,0,
1845,tempted_1_25,2680,30,0,budget,0,67,true,5,635,72,96,0.26666666666666666,0.7333333333333333,0,0,0,3,18,normal,false,7,12,235,2445,0,0,0,false,false,true,0,0,2680,30,0,
1846,tempted_1_25,4445,32,2,budget,0,70,true,5,740,98,141,0.15625,0.84375,0,0,0,3,1,crash,false,8,12,280,4165,0,0,0,false,false,false,0,0,4445,32,0,
1847,tempted_1_25,4139,36,6,budget,0,82,true,3,375,97,149,0.19444444444444445,0.75,0.05555555555555555,0,0,3,1,crash,false,6,15,259,3100,780,0,0,false,false,true,0,0,4139,36,0,
1848,tempted_1_25,12695,31,17,lock,1,100,false,6,4775,123,176,0,0.5483870967741935,0.22580645161290322,0.06451612903225806,0.16129032258064516,5,10,normal,false,7,11,0,3420,3400,4455,1420,false,false,false,1320,5,11375,26,1,6
1849,tempted_1_25,5020,40,10,budget,0,86,true,5,610,108,173,0.3,0.625,0.075,0,0,7,6,normal,false,5,19,530,3800,690,0,0,false,false,true,0,0,5020,40,0,
1850,tempted_1_25,3207,30,0,budget,0,57,true,4,665,79,119,0.23333333333333334,0.7666666666666667,0,0,0,2,14,normal,false,5,12,332,2875,0,0,0,false,false,true,0,0,3207,30,0,
1851,tempted_1_25,3517,34,4,budget,0,79,true,4,450,80,134,0.29411764705882354,0.6470588235294118,0.058823529411764705,0,0,4,11,crash,false,6,11,457,2880,180,0,0,false,false,false,0,0,3517,34,0,
1852,tempted_1_25,1223,6,0,lock,0,50,true,5,810,11,38,0.3333333333333333,0.6666666666666666,0,0,0,0,-1,crash,false,2,2,53,1170,0,0,0,false,false,false,0,0,1223,6,0,
1853,tempted_1_25,4506,30,0,budget,0,54,true,5,825,85,145,0.23333333333333334,0.7666666666666667,0,0,0,4,14,normal,false,3,13,281,4225,0,0,0,false,false,true,0,0,4506,30,0,
1854,tempted_1_25,2595,30,0,budget,0,66,true,3,275,73,103,0.03333333333333333,0.9666666666666667,0,0,0,1,19,normal,false,7,10,180,2415,0,0,0,false,false,false,0,0,2595,30,0,
1855,tempted_1_25,3058,32,2,budget,0,71,true,4,500,78,112,0.125,0.875,0,0,0,4,4,normal,false,4,11,163,2895,0,0,0,false,false,false,0,0,3058,32,0,
1856,tempted_1_25,3391,30,0,budget,0,67,true,5,675,76,130,0.23333333333333334,0.7666666666666667,0,0,0,2,10,crash,false,5,13,231,3160,0,0,0,false,false,false,0,0,3391,30,0,
1857,tempted_1_25,9100,52,22,budget,0,97,true,5,1365,156,198,0,0.9038461538461539,0.07692307692307693,0.019230769230769232,0,8,18,normal,false,6,22,60,4375,1830,2835,0,true,true,true,0,0,9100,52,0,
1858,tempted_1_25,3807,30,0,budget,0,62,true,5,1065,78,128,0.26666666666666666,0.7333333333333333,0,0,0,1,24,normal,false,5,10,282,3525,0,0,0,false,false,true,0,0,3807,30,0,
