knob,value,bot,medianScore,p10Score,p90Score,medianMoves,p90Moves,maxMoves,pctBudgetEnd,avgFrenzies,pctRunsWithFrenzy,pctRunsWithTierUp,medianLongestDryGap
carbLoss,4,lookahead,4169,2686,7619,25,35,64,0.96,0.1,0.06666666666666667,0.9733333333333334,4
proteinGain,3,casual,2448,1594,3743,25,29,54,0.952,0.008,0.008,0.908,5
proteinGain,3,ketoBig,2867.5,1890,4845,25,33,48,0.954,0.012,0.012,0.916,5
proteinGain,3,lookahead,3813,2419,6451,25,27,53,0.9333333333333333,0.02,0.013333333333333334,0.9266666666666666,4
proteinGain,4,casual,3304,1915,8190,27,45,94,0.942,0.154,0.12,0.914,5
proteinGain,4,ketoBig,4464,2481,12193,32.5,54,106,0.924,0.316,0.232,0.942,5
proteinGain,4,lookahead,5478.5,3170,24765,29,70,152,0.9266666666666666,0.58,0.2866666666666667,0.9066666666666666,5
proteinGain,5,casual,9921.5,2520,32560,53,118,314,0.876,1.99,0.658,0.974,6
proteinGain,5,ketoBig,16235,4040,45400,66,144,599,0.846,3.088,0.786,0.994,6
proteinGain,5,lookahead,33102.5,4838,145130,85,298,903,0.7133333333333334,7.433333333333334,0.84,0.9933333333333333,5
